vehicle_id,lane_number,frame,timestamp_s
3,1,14,0.467
9,3,57,1.900
2,2,62,2.067
17,1,62,2.067
6,1,101,3.367
8,1,150,5.000
31,1,196,6.533
25,1,219,7.300
27,1,249,8.300
28,1,274,9.133
53,2,281,9.367
42,2,283,9.433
33,1,287,9.567
50,1,287,9.567
54,2,337,11.233
40,1,339,11.300
43,1,362,12.067
61,1,377,12.567
63,2,385,12.833
51,1,411,13.700
70,2,436,14.533
55,1,459,15.300
77,1,536,17.867
75,1,597,19.900
84,1,599,19.967
93,1,642,21.400
96,1,667,22.233
73,2,682,22.733
89,1,736,24.533
98,2,742,24.733
112,1,801,26.700
109,1,807,26.900
99,1,817,27.233
122,3,856,28.533
119,1,871,29.033
120,2,914,30.467
127,2,914,30.467
124,1,951,31.700
137,3,995,33.167
113,1,1052,35.067
141,3,1054,35.133
128,1,1115,37.167
149,1,1116,37.200
150,1,1146,38.200
133,2,1189,39.633
134,1,1200,40.000
123,1,1206,40.200
160,3,1208,40.267
162,1,1274,42.467
142,1,1289,42.967
158,1,1350,45.000
164,1,1374,45.800
172,3,1389,46.300
165,1,1439,47.967
191,3,1465,48.833
169,1,1466,48.867
200,1,1501,50.033
168,1,1509,50.300
181,1,1544,51.467
205,3,1544,51.467
171,1,1591,53.033
211,3,1596,53.200
209,1,1607,53.567
202,1,1667,55.567
215,1,1693,56.433
167,2,1697,56.567
210,1,1717,57.233
216,1,1764,58.800
132,2,1765,58.833
232,2,1771,59.033
234,1,1804,60.133
221,1,1823,60.767
238,2,1846,61.533
243,1,1914,63.800
255,2,1924,64.133
257,2,2001,66.700
252,1,2010,67.000
274,2,2056,68.533
264,1,2059,68.633
247,2,2062,68.733
278,1,2091,69.700
277,2,2104,70.133
289,1,2145,71.500
259,1,2152,71.733
250,1,2154,71.800
288,2,2155,71.833
267,2,2212,73.733
253,1,2237,74.567
295,1,2244,74.800
273,1,2246,74.867
299,2,2268,75.600
261,1,2297,76.567
302,1,2297,76.567
306,1,2304,76.800
285,1,2356,78.533
290,1,2437,81.233
319,1,2466,82.200
320,2,2477,82.567
323,1,2504,83.467
310,1,2509,83.633
313,2,2533,84.433
314,1,2552,85.067
315,2,2588,86.267
335,2,2636,87.867
327,1,2660,88.667
341,1,2694,89.800
349,1,2759,91.967
348,1,2761,92.033
340,1,2793,93.100
347,1,2840,94.667
350,1,2912,97.067
360,1,2948,98.267
363,1,2967,98.900
368,1,2997,99.900
357,1,3000,100.000
378,1,3101,103.367
380,1,3101,103.367
358,2,3108,103.600
379,1,3162,105.400
372,1,3178,105.933
382,1,3191,106.367
371,2,3193,106.433
392,1,3213,107.100
383,1,3245,108.167
396,2,3258,108.600
386,1,3276,109.200
391,1,3303,110.100
399,3,3334,111.133
385,2,3341,111.367
395,1,3341,111.367
402,2,3413,113.767
407,1,3425,114.167
397,1,3427,114.233
412,1,3464,115.467
416,3,3507,116.900
418,1,3514,117.133
420,1,3514,117.133
411,1,3560,118.667
413,1,3572,119.067
429,1,3631,121.033
417,1,3639,121.300
430,3,3658,121.933
428,2,3659,121.967
427,1,3745,124.833
444,1,3886,129.533
446,2,3909,130.300
452,1,3918,130.600
437,1,3922,130.733
457,1,3951,131.700
442,1,3968,132.267
458,2,4026,134.200
468,1,4059,135.300
451,1,4064,135.467
476,1,4115,137.167
460,1,4133,137.767
482,3,4161,138.700
483,1,4161,138.700
473,1,4169,138.967
477,2,4172,139.067
466,1,4185,139.500
478,1,4204,140.133
495,3,4221,140.700
502,1,4238,141.267
484,1,4248,141.600
499,3,4250,141.667
490,1,4267,142.233
488,1,4285,142.833
511,1,4302,143.400
489,1,4316,143.867
515,1,4340,144.667
519,1,4362,145.400
459,2,4395,146.500
526,3,4432,147.733
509,1,4433,147.767
521,1,4500,150.000
494,2,4524,150.800
540,2,4601,153.367
534,1,4617,153.900
545,1,4656,155.200
551,1,4667,155.567
564,1,4720,157.333
486,2,4732,157.733
561,3,4735,157.833
542,1,4748,158.267
548,1,4793,159.767
578,3,4808,160.267
559,1,4810,160.333
558,1,4825,160.833
567,1,4843,161.433
591,1,4881,162.700
531,2,4883,162.767
599,1,4922,164.067
583,1,4931,164.367
514,2,4952,165.067
596,2,4958,165.267
590,1,5000,166.667
586,1,5005,166.833
595,1,5049,168.300
609,1,5080,169.333
621,3,5080,169.333
533,2,5090,169.667
619,2,5095,169.833
600,1,5105,170.167
626,1,5116,170.533
552,2,5165,172.167
637,1,5177,172.567
630,1,5213,173.767
627,2,5226,174.200
616,2,5318,177.267
653,1,5332,177.733
658,1,5335,177.833
624,1,5393,179.767
665,3,5399,179.967
646,1,5400,180.000
641,2,5412,180.400
669,2,5420,180.667
674,1,5463,182.100
678,2,5489,182.967
680,1,5521,184.033
671,1,5563,185.433
635,1,5564,185.467
684,2,5566,185.533
689,2,5624,187.467
693,1,5630,187.667
690,1,5674,189.133
691,1,5679,189.300
704,3,5699,189.967
708,1,5739,191.300
681,1,5756,191.867
713,1,5811,193.700
711,1,5848,194.933
727,1,5849,194.967
723,3,5852,195.067
718,2,5864,195.467
710,2,5866,195.533
736,1,5901,196.700
739,3,5901,196.700
697,1,5932,197.733
722,1,5938,197.933
748,3,5943,198.100
746,1,5983,199.433
755,1,5993,199.767
747,1,6031,201.033
745,1,6035,201.167
760,2,6035,201.167
759,1,6077,202.567
744,1,6101,203.367
712,2,6146,204.867
768,1,6175,205.833
764,1,6181,206.033
774,1,6225,207.500
782,2,6228,207.600
763,1,6259,208.633
781,1,6303,210.100
797,1,6316,210.533
800,3,6327,210.900
806,1,6358,211.933
805,1,6369,212.300
812,3,6382,212.733
818,1,6414,213.800
796,1,6435,214.500
809,1,6447,214.900
790,2,6469,215.633
829,2,6472,215.733
811,1,6482,216.067
834,1,6487,216.233
830,1,6489,216.300
813,1,6530,217.667
817,1,6575,219.167
839,3,6582,219.400
828,2,6594,219.800
841,2,6594,219.800
784,2,6673,222.433
843,2,6737,224.567
850,2,6737,224.567
856,1,6766,225.533
864,3,6835,227.833
795,2,6836,227.867
854,1,6894,229.800
870,1,6901,230.033
868,2,6902,230.067
863,1,6952,231.733
874,2,6969,232.300
879,2,6969,232.300
882,2,7026,234.200
880,1,7050,235.000
865,2,7110,237.000
885,1,7127,237.567
887,1,7193,239.767
893,2,7231,241.033
899,1,7261,242.033
901,1,7279,242.633
900,3,7294,243.133
895,1,7338,244.600
907,3,7364,245.467
904,1,7377,245.900
915,3,7430,247.667
908,1,7440,248.000
923,1,7440,248.000
913,1,7513,250.433
894,2,7544,251.467
932,1,7551,251.700
928,2,7562,252.067
927,1,7574,252.467
940,1,7601,253.367
930,1,7604,253.467
942,3,7627,254.233
950,1,7646,254.867
929,1,7660,255.333
956,1,7716,257.200
959,2,7722,257.400
961,1,7756,258.533
949,1,7774,259.133
955,1,7836,261.200
963,1,7875,262.500
979,1,7899,263.300
984,3,7909,263.633
985,2,7910,263.667
970,1,7924,264.133
971,1,7940,264.667
978,1,7962,265.400
1000,2,7995,266.500
968,2,7997,266.567
